Journal,Field,Publisher,Publisher type,Business model,Institution,Institution type,Country,Website,APC Euros,Scimago Rank,Scimago Quartile,H index,PCI partner
Swiss Journal of Palaeontology,paleo_geo,Springer Nature,For-profit Society-Run,OA,Schweizerische Geologische Gesellschaft / Swiss Academy of Sciences,Society,UK,https://sjpp.springeropen.com/,1084,0.824,Q1 (Paleontology),19,No
Zitteliana,paleo_geo,Pensoft,For-profit,OA diamond,Bavarian State Collection of Palaeontology and Geology Munich,Museum,Bulgaria,https://zitteliana.pensoft.net/,0,,,3,No
Biodiversity Information Science and Standards,theory,Pensoft,For-profit Society-Run,OA,Biodiversity Information Standards,Society,,https://biss.pensoft.net/,560,,,,No
Bioinformatics,theory,Oxford University Press (OUP),University Press Society-Run,OA,International Society for Computational Biology,Society,UK,https://academic.oup.com/bioinformatics,3233,2.451,Q1 (Biochemistry; Computational Mathematics; Computational Theory and Mathematics; Computer Science Applications; Molecular Biology; Statistics and Probability),486,No
Bioinformatics Advances,theory,Oxford University Press (OUP),University Press Society-Run,OA,International Society for Computational Biology,Society,UK,https://academic.oup.com/bioinformaticsadvances,2347,1.41,Q1 (Computer Science Applications; Genetics; Structural Biology),17,No
Bioinformatics Advances,theory,Oxford University Press (OUP),University Press Society-Run,OA,International Society for Computational Biology,Society,UK,https://academic.oup.com/bioinformaticsadvances,2347,1.41,Q1 (Computer Science Applications; Genetics; Structural Biology),17,No
Biometrics,theory,John Wiley & Sons,For-profit Society-Run,Hybrid,International Biometric Society,Society,USA,https://onlinelibrary.wiley.com/journal/15410420,2372,1.257,"Q1 (Agricultural and Biological Sciences; Applied Mathematics; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Statistics and Probability)",154,No
Bulletin of Mathematical Biology,theory,Springer Nature,For-profit Society-Run,Hybrid,Society for Mathematical Biology,Society,Germany / UK,https://www.springer.com/journal/11538,2445,0.702,Q1 (Agricultural and Biological Sciences; Mathematics),101,No
Geoscientific Model Development,theory,Copernicus Publications,For-profit Society-Run,OA,European Geosciences Union,Society,Germany,https://www.geoscientific-model-development.net/,1729,1.967,Q1 (Earth and Planetary Sciences; Modeling and Simulation),146,No
IEEE/ACM Transactions on Computational Biology and Bioinformatics,theory,Institute of Electrical and Electronics Engineers,Non-profit,Hybrid,IEEE Computer Society / The Association for Computing Machinery,Society,,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8857,1549,0.797,Q2 (Applied Mathematics; Biotechnology; Genetics),96,No
Journal of Advances in Modeling Earth Systems,theory,John Wiley & Sons,For-profit Society-Run,OA,American Geophysical Union,Society,USA,https://agupubs.onlinelibrary.wiley.com/journal/19422466,1767,2.298,Q1 (Earth and Planetary Sciences; Environmental Chemistry; Global and Planetary Change),103,No
Journal of Computational and Graphical Statistics,theory,Taylor & Francis Group,For-profit Society-Run,Hybrid,American Statistical Association,Society,UK,https://www.tandfonline.com/toc/ucgs20/current,1811,1.241,"Q1 (Discrete Mathematics and Combinatorics; Statistics and Probability; Statistics, Probability and Uncertainty)",108,No
Journal of Computer Applications in Archaeology,theory,Ubiquity Press,For-profit Society-Run,OA,Computer Applications in Archaeology,Society,UK,https://journal.caa-international.org/,509,0.56,Q1 (Archeology),17,PCI friendly
Journal of Graph Algorithms and Applications,theory,Journal of Graph Algorithms and Applications,Non-profit,OA diamond,Journal of Graph Algorithms and Applications,Non-profit,USA,https://jgaa.info/,0,0.434,Q2 (Computer Science),39,No
Journal of Mathematical Biology,theory,Springer Nature,For-profit Society-Run,Hybrid,European Society for Mathematical and Theoretical Biology,Society,Germany / UK,https://www.springer.com/journal/285,2217,0.921,Q1 (Agricultural and Biological Sciences; Applied Mathematics; Modeling and Simulation),111,No
Journal of Open Source Software,theory,Journal of Open Source Software,Non-profit,OA diamond,Journal of Open Source Software,Non-profit,USA,https://joss.theoj.org/,0,,,,No
Journal of Statistical Software,theory,Foundation for Open Access Statistics,Non-profit,OA diamond,Foundation for Open Access Statistics,Society,USA,https://www.jstatsoft.org/,0,3.211,"Q1 (Software; Statistics and Probability; Statistics, Probability and Uncertainty)",187,No
Methods in Ecology and Evolution,theory,John Wiley & Sons,For-profit Society-Run,OA,British Ecological Society,Society,UK,https://besjournals.onlinelibrary.wiley.com/journal/2041210X,2441,2.945,"Q1 (Ecological Modeling; Ecology, Evolution, Behavior and Systematics)",179,No
Peer Community In Mathematical and Computational Biology,theory,Peer Community In,Non-profit,OA diamond,Peer Community In,Non-profit,France,https://mcb.peercommunityin.org/,0,,,,PCI
Peer Community In Network Science,theory,Peer Community In,Non-profit,OA diamond,Peer Community In,Non-profit,France,https://networksci.peercommunityin.org/,0,,,,PCI
PLoS Computational Biology,theory,Public Library of Science (PLoS),Non-profit,OA,Public Library of Sciences,Non-profit,USA,https://journals.plos.org/ploscompbiol/,2418,1.503,"Q1 (Cellular and Molecular Neuroscience; Computational Theory and Mathematics; Ecology; Ecology, Evolution, Behavior and Systematics; Genetics; Modeling and Simulation; Molecular Biology)",227,No
Proceedings of the Royal Society A - Mathematical Physical and Engineering Sciences,theory,Oxford University Press (OUP),University Press Society-Run,Hybrid,The Royal Society,Society,UK,https://academic.oup.com/jrsssa,1982,0.777,Q1 (Engineering; Mathematics; Physics and Astronomy),162,No
Journal of The Royal Society Interface,theory,The Royal Society,Non-profit,Hybrid,The Royal Society,Society,UK,https://royalsocietypublishing.org/journal/rsif,2044,1.025,Q1 (Biomedical Engineering; Biophysics; Biotechnology),177,No
Scandinavian Journal of Statistics,theory,John Wiley & Sons,For-profit Society-Run,Hybrid,Danish Society for Theoretical Statistics / Finnish-Swedish Statistical Society / Norwegian Statistical Association,Society,USA,https://onlinelibrary.wiley.com/journal/14679469,1831,0.871,Q1 (Statistics and Probability),72,No
SIAM Journal on Applied Mathematics,theory,Society for Industrial and Applied Mathematics,Non-profit,Hybrid,Society for Industrial and Applied Mathematics / Finnish Statistical Society,Society,,https://www.siam.org/publications/journals/siam-journal-on-applied-mathematics-siap,3080,0.83,Q1 (Applied Mathematics),114,No
SIAM Journal on Discrete Mathematics,theory,Society for Industrial and Applied Mathematics,Non-profit,Hybrid,Society for Industrial and Applied Mathematics,Society,,https://www.siam.org/publications/journals/siam-journal-on-discrete-mathematics-sidma,2259,1.094,Q1 (Mathematics),72,No
Acarologia,zoology,Institut National de Recherche pour l'Agriculture l'Alimentation et l'Environnement,Non-profit,OA diamond,Institut National de Recherche pour l'Agriculture l'Alimentation et l'Environnement,Uni/Gov,France,https://www1.montpellier.inra.fr/CBGP/acarologia/index.php,0,0.677,Q1 (Insect Science),29,PCI friendly
Acta Chiropterologica,zoology,Museum and Institute of Zoology / Polish Academy of Sciences,Non-profit,Subscription,Museum and Institute of Zoology / Polish Academy of Sciences,Museum,,https://bioone.org/journals/acta-chiropterologica/,,0.373,Q2 (Animal Science and Zoology),46,No
Acta Herpetologica,zoology,Firenze University Press,University Press Society-Run,OA diamond,Societas Herpetologica Italica,Society,Italy,https://oaj.fupress.net/index.php/ah/index,0,0.372,Q2 (Animal Science and Zoology),21,No
Acta Ornithologica,zoology,Museum and Institute of Zoology / Polish Academy of Sciences,Non-profit,Subscription,Museum and Institute of Zoology / Polish Academy of Sciences,Museum,,https://bioone.org/journals/acta-ornithologica/,,0.394,Q2 (Animal Science and Zoology),37,No
African Entomology,zoology,Khulisa Journals,Non-profit,OA,Entomological Society of Southern Africa,Society,South Africa,https://www.africanentomology.com/,380,0.307,"Q3 (Agronomy and Crop Science; Ecology, Evolution, Behavior and Systematics; Insect Science)",36,No
African Invertebrates,zoology,Pensoft,For-profit,OA,KwaZulu-Natal Museum,Museum,South Africa,https://africaninvertebrates.pensoft.net/,300,0.499,"Q2 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics; Insect Science; Paleontology)",19,No
African Zoology,zoology,Taylor & Francis Group,For-profit Society-Run,Hybrid,Zoological Society of Southern Africa,Society,UK,https://www.nisc.co.za/products/59/journals/african-zoology,955,0.214,Q3 (Animal Science and Zoology),35,No
Alpine Entomology,zoology,Pensoft,For-profit Society-Run,OA,Swiss Entomological Society,Society,Bulgaria,https://alpineentomology.pensoft.net/,409,0.332,Q2 (Animal Science and Zoology),8,No
American Journal of Primatology,zoology,John Wiley & Sons,For-profit Society-Run,Subscription,The American Society of Primatologists,Society,USA,https://onlinelibrary.wiley.com/journal/10982345,2844,0.583,Q1 (Animal Science and Zoology),95,No
Amphibia-Reptilia,zoology,Brill,For-profit Society-Run,Hybrid,Societas Europaea Herpetologica,Society,,https://brill.com/view/journals/amre/amre-overview.xml,1977,0.385,Q2 (Animal Science and Zoology),54,No
Anatomical Record,zoology,John Wiley & Sons,For-profit Society-Run,Hybrid,American Association of Anatomists,Society,USA,https://anatomypubs.onlinelibrary.wiley.com/journal/19328494,2118,0.553,"Q2 (Anatomy; Biotechnology; Ecology, Evolution, Behavior and Systematics; Histology)",103,No
Animal,zoology,Elsevier,For-profit Society-Run,OA,British Society of Animal Science / European Association for Animal Production / Institut National de Recherche pour l'Agriculture l'Alimentation et l'Environnement,Society,Netherlands,https://bsas.org.uk/publications/animal,1205,1.04,Q1 (Animal Science and Zoology),133,PCI friendly
Annales de la Societe Entomologique de France,zoology,Taylor & Francis Group,For-profit Society-Run,Hybrid,Societe Entomologique de France,Society,UK,https://www.tandfonline.com/toc/tase20/current,3190,0.445,"Q2 (Ecology, Evolution, Behavior and Systematics; Insect Science)",40,No
Annales Zoologici,zoology,BioOne,Non-profit,Subscription,Museum and Institute of Zoology / Polish Academy of Sciences,Uni/Gov,USA,https://miiz.waw.pl/en/26-wydawnictwa/annales-zoologici/173-azedt,602,0.59,"Q2 (Ecology, Evolution, Behavior and Systematics)",33,No
Annales Zoologici Fennici,zoology,BioOne,Non-profit,Hybrid,Finnish Zoological and Botanical Publishing Board,Uni/Gov,USA,https://www.sekj.org/AnnZool.html,600,0.235,Q3 (Animal Science and Zoology; Ecology; Nature and Landscape Conservation),64,No
Annals of Anatomy,zoology,Elsevier,For-profit Society-Run,Hybrid,Anatomische Gesellschaft,Society,Netherlands,https://www.sciencedirect.com/journal/annals-of-anatomy-anatomischer-anzeiger,3850,0.571,Q2 (Anatomy; Medicine),67,No
Annals of the Entomological Society of America,zoology,Oxford University Press (OUP),University Press Society-Run,Hybrid,Entomological Society of America,Society,UK,https://academic.oup.com/aesa,1184,0.834,Q1 (Insect Science),87,No
Annual Review of Animal Biosciences,zoology,Annual Reviews,Non-profit,Subscription,Annual Reviews,Non-profit,,https://www.annualreviews.org/journal/animal,,3.307,Q1 (Animal Science and Zoology; Biotechnology; Genetics; Veterinary),68,No
Annual Review of Entomology,zoology,Annual Reviews,Non-profit,Subscription,Annual Reviews,Non-profit,,https://www.annualreviews.org/journal/ento,851,4.655,"Q1 (Ecology, Evolution, Behavior and Systematics; Insect Science)",239,No
Apidologie,zoology,Springer Nature,For-profit,Hybrid,Institut National de Recherche pour l'Agriculture l'Alimentation et l'Environnement / Deutscher Imkerbund,Uni/Gov,Germany / UK,https://link.springer.com/journal/13592,2005,0.724,Q1 (Insect Science),105,No
Arachnology,zoology,British Arachnological Society,Non-profit,Subscription,British Arachnological Society,Society,,https://www.britishspiders.org.uk/arachnology,,0.394,Q2 (Insect Science),13,No
Ardea,zoology,Netherland Ornithologist Union,Non-profit,Hybrid,Netherland Ornithologist Union,Society,,https://ardea.nou.nu/,600,0.351,Q2 (Animal Science and Zoology),53,No
Ardeola,zoology,SEO/BirdLife,Non-profit,Subscription,SEO/BirdLife,Non-profit,,https://www.ardeola.org/en/,,0.459,"Q2 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)",32,No
Arthropod Systematics and Phylogeny,zoology,Senckenberg,Non-profit,OA diamond,Senckenberg Gesellschaft fur Naturforschung Dresden,Museum,Germany,https://arthropod-systematics.arphahub.com/,0,0.692,Q1 (Insect Science),29,No
Arxius de Miscel-Lania Zoologica,zoology,Museu de Ciencies Naturals de Barcelona,Non-profit,OA diamond,Museu de Ciencies Naturals de Barcelona,Museum,Spain,https://museucienciesjournals.cat/en/amz/info/que-es,0,0.146,Q4 (Animal Science and Zoology),7,No
Australian Journal of Zoology,zoology,CSIRO publishing,Non-profit,Hybrid,Commonwealth Scientific and Industrial Research Organisation,Uni/Gov,,https://www.publish.csiro.au/zo,2500,0.374,Q2 (Animal Science and Zoology),52,No
Avocetta,zoology,Centro Italiano Studi Ornitologici,Non-profit,OA diamond,Centro Italiano Studi Ornitologici,Non-profit,Italy,https://www.avocetta.org/,0,0.209,"Q4 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)",10,No
Bangladesh Journal of Zoology,zoology,Bangladesh Journals Online,Non-profit,OA diamond,Zoological Society of Bangladesh,Society,,https://www.banglajol.info/index.php/BJZ,0,,,,No
Bee World,zoology,Taylor & Francis Group,For-profit,Hybrid,International Bee Research Association,Non-profit,UK,https://www.tandfonline.com/journals/tbee20,2895,,,0,No
Belgian Journal of Zoology,zoology,Royal Belgian Zoological Society,Non-profit,OA diamond,Royal Belgian Zoological Society,Society,,https://www.belgianjournalofzoology.eu/BJZ,0,0.324,Q3 (Animal Science and Zoology),35,PCI friendly
Bird Study,zoology,Taylor & Francis Group,For-profit,Subscription,British Trust for Ornithology,Non-profit,UK,https://www.tandfonline.com/toc/tbis20/current,1372,0.29,"Q3 (Ecology, Evolution, Behavior and Systematics; Nature and Landscape Conservation)",58,No
Boletim da Sociedade Brasileira de Mastozoologia,zoology,Sociedade Brasileira de Mastozoologia,Non-profit,OA,Sociedade Brasileira de Mastozoologia,Society,,https://www.sbmz.org/,300,,,,No
Bulletin de la Societe Entomologique de France,zoology,Societe Entomologique de France,Non-profit,Subscription,Societe Entomologique de France,Society,,https://lasef.org/publications/le-bulletin-de-la-sef/,,,,,No
Bulletin de la Societe Herpetologique de France,zoology,Societe Herpetologique de France,Non-profit,Subscription,Societe Herpetologique de France,Society,,https://lashf.org/bshf/,,,,,No
Bulletin de la Societe Zoologique de France,zoology,Societe zoologique de France,Non-profit,OA,Societe Zoologique de France,Society,,https://societe-zoologique.fr/index.php/bulletin-et-memoires,160,0.104,,14,No
Bulletin of Zoological Nomenclature,zoology,BioOne,Non-profit,OA diamond,International Commission on Zoological Nomenclature,Uni/Gov,USA,https://www.iczn.org/submitting-to-the-bulletin-of-zoological-nomenclature/,0,,,,No
Canadian Entomologist,zoology,Cambridge University Press (CUP),University Press Society-Run,Hybrid,Entomological Society of Canada,Society,UK,https://esc-sec.ca/publications/the-canadian-entomologist/,2891,0.359,"Q3 (Ecology, Evolution, Behavior and Systematics; Insect Science)",50,No
Canadian Journal of Zoology,zoology,Canadian Science Publishing,Non-profit,Hybrid,Canadian Society of Zoologists,Society,,https://cdnsciencepub.com/journal/cjz,2752,0.527,"Q2 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)",118,PCI friendly
Coleopterists Bulletin,zoology,The Coleopterists Society,Non-profit,Subscription,The Coleopterists Society,Society,,https://www.coleopsoc.org/the-coleopterists-bulletin/,,0.363,Q2 (Insect Science),28,No
Contributions to Zoology,zoology,Brill,For-profit,OA,Naturalis Biodiversity Center,Museum,Netherlands,https://brill.com/view/journals/ctoz/ctoz-overview.xml,1575,0.715,"Q1 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)",41,No
Coral Reefs,zoology,Springer Nature,For-profit Society-Run,Hybrid,International Coral Reef Society,Society,Germany / UK,https://www.springer.com/journal/338,2318,0.837,Q1 (Aquatic Science),128,No
Current Herpetology,zoology,Herpetological Society of Japan,Non-profit,Subscription,Herpetological Society of Japan,Society,,https://herpetology.jp/CurHerp/,,0.285,Q3 (Animal Science and Zoology),21,No
Current Zoology,zoology,Oxford University Press (OUP),University Press Society-Run,OA,China Zoological Society,Society,UK,https://academic.oup.com/cz,1455,0.583,Q1 (Animal Science and Zoology),56,No
Cybium,zoology,Societe Francaise d'Ichtyologie,Non-profit,Subscription,Societe Francaise d'Ichtyologie,Society,,https://sfi-cybium.fr/fr/cybium-revue-internationale-dichtyologie,,0.298,"Q3 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)",36,No
Developmental Dynamics,zoology,John Wiley & Sons,For-profit Society-Run,Hybrid,American Association for Anatomy,Society,USA,https://anatomypubs.onlinelibrary.wiley.com/journal/10970177,1978,0.857,Q2 (Developmental Biology),158,No
Ecological Entomology,zoology,John Wiley & Sons,For-profit Society-Run,Hybrid,Royal Entomological Society,Society,USA,https://onlinelibrary.wiley.com/journal/13652311,2354,0.834,Q1 (Ecology; Insect Science),99,No
Entomologia Experimentalis et Applicata,zoology,John Wiley & Sons,For-profit Society-Run,Hybrid,Netherlands Entomological Society,Society,USA,https://onlinelibrary.wiley.com/journal/15707458,4357,0.517,"Q2 (Ecology, Evolution, Behavior and Systematics; Insect Science)",97,No
Environmental Entomology,zoology,Oxford University Press (OUP),University Press Society-Run,Hybrid,Entomological Society of America,Society,UK,https://academic.oup.com/ee,3092,0.552,"Q2 (Ecology; Ecology, Evolution, Behavior and Systematics; Insect Science)",105,No
European Journal of Entomology,zoology,Czech Academy of Sciences,Non-profit,OA,Czech Academy of Sciences,Uni/Gov,Czech Republic,https://www.eje.cz/,190,0.386,Q2 (Insect Science),65,No
European Zoological Journal,zoology,Taylor & Francis Group,For-profit Society-Run,OA,Italian Society of Zoologists,Society,UK,https://www.tandfonline.com/journals/tizo21,914,0.411,Q2 (Animal Science and Zoology),47,PCI friendly
Folia Primatologica,zoology,Karger Publishers,For-profit Society-Run,Hybrid,European Federation for Primatology / Primate Society of Great Britain,Society,Switzerland,https://www.karger.com/Journal/Home/223842,3000,0.331,Q2 (Animal Science and Zoology),52,No
Fragmenta Entomologica,zoology,Riviste Online Sapienza,Non-profit,OA diamond,Sapienza University of Rome,Uni/Gov,Italy,https://rosa.uniroma1.it/rosa02/fragmenta_entomologica/,0,0.268,"Q3 (Ecology; Ecology, Evolution, Behavior and Systematics; Insect Science)",11,No
Helminthologia,zoology,De Gruyter Brill,For-profit,OA,Slovak Academy of Sciences,Uni/Gov,Poland,https://pau.saske.sk/helm/,350,0.328,Q3 (Animal Science and Zoology; Parasitology),32,No
Herpetologica,zoology,The Herpetologists' League,Non-profit,Hybrid,The Herpetologists' League,Society,,https://complete.bioone.org/journals/herpetologica/scope-and-details,2210,0.411,"Q2 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)",59,No
Herpetozoa,zoology,Pensoft,For-profit Society-Run,OA,Austrian Herpetological Society,Society,Bulgaria,https://herpetozoa.pensoft.net/,595,0.443,"Q2 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)",11,No
Hystrix,zoology,Italian Mammal Society - Associazione Teriologica Italiana,Non-profit,OA diamond,Italian Mammal Society - Associazione Teriologica Italiana,Society,,https://www.italian-journal-of-mammalogy.it,0,0.466,"Q2 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)",33,No
Ibis,zoology,John Wiley & Sons,For-profit Society-Run,Hybrid,British Ornithologists' Union,Society,USA,https://onlinelibrary.wiley.com/journal/1474919x,2239,0.814,"Q1 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics; Nature and Landscape Conservation)",93,No
Ichthyology & Herpetology,zoology,American Society of Ichthyologists and Herpetologists,Non-profit,Hybrid,American Society of Ichthyologists and Herpetologists,Society,,https://www.ichthyologyandherpetology.org/,2107,0.587,Q1 (Animal Science and Zoology),78,No
Insect Conservation & Diversity,zoology,John Wiley & Sons,For-profit Society-Run,Hybrid,Royal Entomological Society,Society,USA,https://onlinelibrary.wiley.com/journal/17524598,3175,1.093,"Q1 (Ecology, Evolution, Behavior and Systematics; Insect Science)",56,No
Insect Systematics and Diversity,zoology,Oxford University Press (OUP),University Press Society-Run,Hybrid,Entomological Society of America,Society,UK,https://academic.oup.com/isd,3642,1.1,"Q1 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics; Insect Science)",20,No
Insectes Sociaux,zoology,Springer Nature,For-profit Society-Run,Hybrid,International Union for the Study of Social Insects,Society,Germany / UK,https://www.springer.com/journal/40,2690,0.448,"Q2 (Ecology, Evolution, Behavior and Systematics; Insect Science)",70,No
Integrative Zoology,zoology,John Wiley & Sons,For-profit Society-Run,Hybrid,International Society of Zoological Sciences / Institute of Zoology/Chinese Academy of Sciences,Society,USA,https://onlinelibrary.wiley.com/journal/17494877,3140,0.991,Q1 (Animal Science and Zoology),47,No
International Journal of Primatology,zoology,Springer Nature,For-profit Society-Run,Hybrid,International Primatological Society,Society,Germany / UK,https://www.springer.com/journal/10764/,2690,0.583,Q1 (Animal Science and Zoology),90,No
Journal of Anatomy,zoology,John Wiley & Sons,For-profit Society-Run,Hybrid,Anatomical Society,Society,USA,https://onlinelibrary.wiley.com/journal/14697580,2164,0.655,"Q2 (Anatomy; Ecology, Evolution, Behavior and Systematics; Histology)",140,No
Journal of Animal Ecology,zoology,John Wiley & Sons,For-profit Society-Run,Hybrid,British Ecological Society,Society,USA,https://besjournals.onlinelibrary.wiley.com/journal/13652656,2151,1.698,"Q1 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)",185,No
Journal of Animal Science,zoology,Oxford University Press (OUP),University Press Society-Run,Hybrid,American Society of Animal Science,Society,UK,https://academic.oup.com/jas,3374,0.755,Q1 (Animal Science and Zoology; Food Science),191,No
Journal of Arachnology,zoology,American Arachnological Society,Non-profit,Hybrid,Americal Arachnological Society,Society,,https://www.americanarachnology.org/journal-joa/,691,0.368,Q2 (Insect Science),53,No
Journal of Asia-Pacific Entomology,zoology,Elsevier,For-profit Society-Run,Hybrid,Korean Society of Applied Entomology,Society,Netherlands,https://www.sciencedirect.com/journal/journal-of-asia-pacific-entomology,2758,0.401,Q2 (Insect Science),51,No
Journal of Asian Ornithology,zoology,Oriental Bird Club,Non-profit,Subscription,Oriental Bird Club,Non-profit,,https://www.orientalbirdclub.org/jao-index,,,,,No
Journal of Avian Biology,zoology,John Wiley & Sons,For-profit Society-Run,OA,Nordic Society Oikos,Society,UK,https://onlinelibrary.wiley.com/journal/1600048x,2017,0.687,"Q1 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)",89,PCI friendly
Journal of Bat Research and Conservation,zoology,Spanish Society of Bat Research and Conservation,Non-profit,OA diamond,Spanish Society of Bat Research and Conservation,Society,,https://secemu.org/en/journal-of-bat-research-and-conservation/,0,,,,No
Journal of Caribbean Ornithology,zoology,BirdsCaribbean,Non-profit,OA,BirdsCaribbean,Society,,https://jco.birdscaribbean.org/index.php/jco/,120,,,,No
Journal of Crustacean Biology,zoology,Oxford University Press (OUP),University Press Society-Run,Hybrid,The Crustacean Society,Society,UK,https://academic.oup.com/jcb,3569,0.364,Q3 (Aquatic Science),63,No
Journal of Field Ornithology,zoology,John Wiley & Sons,For-profit Society-Run,Hybrid,Association of Field Ornithologists,Society,USA,https://onlinelibrary.wiley.com/journal/15579263,1205,0.366,Q2 (Animal Science and Zoology),56,No
Journal of Fish Biology,zoology,John Wiley & Sons,For-profit,Hybrid,Fisheries Society of the British Isles,other,USA,https://onlinelibrary.wiley.com/journal/10958649,2433,0.641,"Q2 (Aquatic Science; Ecology, Evolution, Behavior and Systematics)",133,No
Journal of Herpetology,zoology,Society for the Study of Amphibians and Reptiles,Non-profit,Hybrid,Society for the Study of Amphibians and Reptiles,Society,,https://meridian.allenpress.com/journal-of-herpetology,969,0.329,"Q3 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)",68,No
Journal of Hymenoptera Research,zoology,PenSoft,For-profit Society-Run,OA,The International Society of Hymenopterists,Society,Bulgaria,https://jhr.pensoft.net/,640,0.638,Q1 (Animal Science and Zoology; Insect Science),30,No
Journal of Insect Science,zoology,Oxford University Press (OUP),University Press Society-Run,OA,Entomological Society of America,Society,UK,https://academic.oup.com/jinsectscience,1595,0.585,Q1 (Insect Science),63,No
Journal of Mammalogy,zoology,Oxford University Press (OUP),University Press Society-Run,Hybrid,American Society of Mammalogists,Society,UK,https://academic.oup.com/jmammal,2093,0.641,Q1 (Animal Science and Zoology),116,No
Journal of Molluscan Studies,zoology,Oxford University Press (OUP),University Press Society-Run,Hybrid,Malacological Society of London,Society,UK,https://academic.oup.com/mollus,2362,0.434,Q2 (Animal Science and Zoology; Aquatic Science),53,No
Journal of Ornithology,zoology,Springer Nature,For-profit Society-Run,Hybrid,German Ornithologists' Society,Society,Germany / UK,https://www.springer.com/journal/10336,2818,0.595,Q1 (Animal Science and Zoology),72,No
Journal of Orthoptera Research,zoology,PenSoft,For-profit Society-Run,OA,The Orthopterists' Society,Society,Bulgaria,https://jor.pensoft.net/,138,0.351,Q2 (Animal Science and Zoology),23,No
Journal of Raptor Research,zoology,Raptor Research Foundation,Non-profit,Hybrid,Raptor Research Foundation,Society,,https://meridian.allenpress.com/rapt,1387,0.429,Q2 (Animal Science and Zoology),41,No
Journal of the Lepidopterists' Society,zoology,The Lepidopterists' Society,Non-profit,Subscription,The Lepidopterists' Society,Society,,https://www.lepsoc.org/content/journal,,0.184,Q4 (Animal Science and Zoology; Ecology),23,No
Journal of Vertebrate Biology,zoology,Czech Academy of Sciences,Non-profit,OA diamond,Czech Academy of Sciences,Uni/Gov,,https://www.jvertbiol.cz/,0,0.549,Q1 (Animal Science and Zoology),41,No
Journal of Zoology,zoology,John Wiley & Sons,For-profit Society-Run,Hybrid,Zoological Society of London,Society,USA,https://zslpublications.onlinelibrary.wiley.com/journal/14697998,4170,0.686,"Q1 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)",114,No
Malacologia,zoology,Institute of Malacology,Non-profit,Subscription,Institute of Malacology,Non-profit,,https://instituteofmalacology.org/,,0.283,"Q3 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)",41,No
Malimbus,zoology,West African Ornithological Society,Non-profit,Subscription,West African Ornithological Society,Society,,https://malimbus.org/en/contindx.html,,,,,No
Mammal Review,zoology,John Wiley & Sons,For-profit Society-Run,Hybrid,The Mammal Society,Society,USA,https://onlinelibrary.wiley.com/journal/13652907,1705,1.887,"Q1 (Agricultural and Biological Sciences; Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)",96,No
Mammal Study,zoology,Mammal Society of Japan,Non-profit,Hybrid,Mammal Society of Japan,Society,,https://bioone.org/journals/mammal-study,763,0.292,Q3 (Animal Science and Zoology),25,No
Mammalian Biology,zoology,Springer Nature,For-profit Society-Run,Hybrid,German Society for Mammalian Biology,Society,Germany / UK,https://www.springer.com/journal/42991,2519,0.656,Q1 (Animal Science and Zoology),56,No
Marine Mammal Science,zoology,John Wiley & Sons,For-profit Society-Run,Hybrid,Society for Marine Mammalogy,Society,USA,https://onlinelibrary.wiley.com/journal/17487692,2500,0.561,"Q2 (Aquatic Science; Ecology, Evolution, Behavior and Systematics)",96,No
Mastozoologia Neotropical,zoology,Sociedade Brasileira de Mastozoologia / Sociedad Argentina para el Estudio de los Mamiferos,Non-profit,OA,Sociedade Brasileira de Mastozoologia / Sociedad Argentina para el Estudio de los Mamiferos,Society,,https://mn.sarem.org.ar/,166,0.208,Q4 (Animal Science and Zoology),23,No
Myrmecological News,zoology,Austrian Society of Entomofaunistics,Non-profit,OA,Austrian Society of Entomofaunistics,Society,Austria,https://myrmecologicalnews.org/cms/,722,0.865,Q1 (Insect Science),45,No
Neotropical Helminthology,zoology,Asociacion Peruana de Helmintologia e Invertebrados Afines,Non-profit,OA diamond,Asociacion Peruana de Helmintologia e Invertebrados Afines,Society,,https://www.neotropicalhelminthology.com/,0,,,,No
News of the Lepidopterists Society,zoology,The Lepidopterists' Society,Non-profit,OA diamond,The Lepidopterists' Society / Peabody Museum of Natural History,Society,,https://images.peabody.yale.edu/lepsoc/nls/,0,,,,No
